#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
"Valine, leucine and isoleucine degradation",n/a,map00280,1,90,0.387858872322733,0.441288410856987,Q9SR86,,Q9SR86
Homologous recombination,n/a,map03440,3,104,0.020332584058434,0.111954722099526,"Q7Y1C4, Q9SK02, Q7Y1C5",,Q7Y1C4; Q9SK02; Q7Y1C5
EGFR tyrosine kinase inhibitor resistance,n/a,map01521,1,31,0.158479259251177,0.260818264302675,Q9LQQ9,,Q9LQQ9
Platinum drug resistance,n/a,map01524,5,115,0.000507140601188618,0.0102811230968238,"Q9SHH6, Q9SHH7, Q9LQQ9, Q8L7C9, Q96324",,Q9SHH6; Q9SHH7; Q9LQQ9; Q8L7C9; Q96324
Thyroid hormone signaling pathway,n/a,map04919,1,78,0.346917347809649,0.423904485268777,Q9LQQ9,,Q9LQQ9
Phospholipase D signaling pathway,n/a,map04072,1,81,0.3574021620254,0.421696730855367,Q9LQQ9,,Q9LQQ9
Glutamatergic synapse,n/a,map04724,1,59,0.276430215717328,0.360490866110901,Q9LQQ9,,Q9LQQ9
PD-L1 expression and PD-1 checkpoint pathway in cancer,n/a,map05235,1,54,0.256650545525264,0.338657228710851,Q9LQQ9,,Q9LQQ9
Th1 and Th2 cell differentiation,n/a,map04658,1,26,0.135480604827601,0.243646571585122,Q9LQQ9,,Q9LQQ9
Th17 cell differentiation,n/a,map04659,1,34,0.171984161520986,0.274928086158996,Q9LQQ9,,Q9LQQ9
T cell receptor signaling pathway,n/a,map04660,1,34,0.171984161520986,0.274928086158996,Q9LQQ9,,Q9LQQ9
Apoptosis - fly,n/a,map04214,1,27,0.140130002149043,0.245090121405777,Q9LQQ9,,Q9LQQ9
Herpes simplex virus 1 infection,n/a,map05168,1,82,0.36085961650604,0.420217725748547,Q9SRU3,,Q9SRU3
Adipocytokine signaling pathway,n/a,map04920,1,36,0.180866989603375,0.278160956424501,Q8RWC9,,Q8RWC9
"Alanine, aspartate and glutamate metabolism",n/a,map00250,3,97,0.0170242085437569,0.102605365006967,"Q9S7A0, Q9SR86, Q9LSH2",,Q9S7A0; Q9SR86; Q9LSH2
Arginine biosynthesis,n/a,map00220,1,66,0.303241989825607,0.3853160326559,Q9S7A0,,Q9S7A0
Metabolism of xenobiotics by cytochrome P450,n/a,map00980,4,89,0.0016564765157943,0.0194418033169542,"Q9SHH6, Q9SHH7, Q8L7C9, Q96324",,Q9SHH6; Q9SHH7; Q8L7C9; Q96324
Drug metabolism - cytochrome P450,n/a,map00982,4,92,0.00186099164865235,0.0207500568824737,"Q9SHH6, Q9SHH7, Q8L7C9, Q96324",,Q9SHH6; Q9SHH7; Q8L7C9; Q96324
Breast cancer,n/a,map05224,3,30,0.000748642979223243,0.0107707989914054,"Q9LQQ9, Q7Y1C4, Q7Y1C5",,Q9LQQ9; Q7Y1C4; Q7Y1C5
Chagas disease (American trypanosomiasis),n/a,map05142,1,28,0.144754432741003,0.250234406986385,Q9LQQ9,,Q9LQQ9
Long-term depression,n/a,map04730,1,19,0.102224358280622,0.203535999076595,Q9LQQ9,,Q9LQQ9
Diterpenoid biosynthesis,n/a,map00904,2,40,0.0215649113532823,0.114499410280523,"Q39112, O49561",,Q39112; O49561
Chemical carcinogenesis,n/a,map05204,4,84,0.00135116980398123,0.0167394925715453,"Q9SHH6, Q9SHH7, Q8L7C9, Q96324",,Q9SHH6; Q9SHH7; Q8L7C9; Q96324
Sesquiterpenoid and triterpenoid biosynthesis,n/a,map00909,3,30,0.000748642979223243,0.0107707989914054,"Q9FI37, B6EXY6, Q9T0J9",,Q9FI37; B6EXY6; Q9T0J9
Type II diabetes mellitus,n/a,map04930,1,39,0.194013143304416,0.282777326515586,Q9LQQ9,,Q9LQQ9
Proximal tubule bicarbonate reclamation,n/a,map04964,1,14,0.0776907100598977,0.178608539622239,Q9S7A0,,Q9S7A0
Butanoate metabolism,n/a,map00650,1,34,0.171984161520986,0.274928086158996,Q9LSH2,,Q9LSH2
C5-Branched dibasic acid metabolism,n/a,map00660,1,11,0.0626503709899814,0.162453868962394,Q94AR8,,Q94AR8
Endocrine resistance,n/a,map01522,1,16,0.08758349109912,0.191481554069645,Q9LQQ9,,Q9LQQ9
Signaling pathways regulating pluripotency of stem cells,n/a,map04550,1,10,0.0575827003855454,0.158530150444156,Q9LQQ9,,Q9LQQ9
ErbB signaling pathway,n/a,map04012,1,13,0.0727042303623181,0.176228732291271,Q9LQQ9,,Q9LQQ9
Endometrial cancer,n/a,map05213,1,21,0.111854381420378,0.211385822514781,Q9LQQ9,,Q9LQQ9
Prolactin signaling pathway,n/a,map04917,1,10,0.0575827003855454,0.158530150444156,Q9LQQ9,,Q9LQQ9
"Growth hormone synthesis, secretion and action",n/a,map04935,1,17,0.0924900787351864,0.197371172803316,Q9LQQ9,,Q9LQQ9
IL-17 signaling pathway,n/a,map04657,1,29,0.149354030503712,0.252317793957029,Q9LQQ9,,Q9LQQ9
Hypertrophic cardiomyopathy (HCM),n/a,map05410,1,14,0.0776907100598977,0.178608539622239,Q8RWC9,,Q8RWC9
Chronic myeloid leukemia,n/a,map05220,1,22,0.116630645697725,0.216738616588272,Q9LQQ9,,Q9LQQ9
Taurine and hypotaurine metabolism,n/a,map00430,1,14,0.0776907100598977,0.178608539622239,Q9LSH2,,Q9LSH2
TNF signaling pathway,n/a,map04668,1,7,0.0422149625398103,0.147092760099651,Q9LQQ9,,Q9LQQ9
Thyroid cancer,n/a,map05216,1,9,0.0524876738616598,0.157110755317451,Q9LQQ9,,Q9LQQ9
Melanoma,n/a,map05218,1,18,0.0973703207133294,0.202930668402546,Q9LQQ9,,Q9LQQ9
Bladder cancer,n/a,map05219,1,9,0.0524876738616598,0.157110755317451,Q9LQQ9,,Q9LQQ9
Non-small cell lung cancer,n/a,map05223,1,17,0.0924900787351864,0.197371172803316,Q9LQQ9,,Q9LQQ9
Dorso-ventral axis formation,n/a,map04320,1,4,0.0265970142861378,0.130354597490302,Q9LQQ9,,Q9LQQ9
Relaxin signaling pathway,n/a,map04926,1,6,0.0370369804661222,0.142400804205952,Q9LQQ9,,Q9LQQ9
"Parathyroid hormone synthesis, secretion and action",n/a,map04928,1,29,0.149354030503712,0.252317793957029,Q9LQQ9,,Q9LQQ9
GnRH secretion,n/a,map04929,1,4,0.0265970142861378,0.130354597490302,Q9LQQ9,,Q9LQQ9
Cholinergic synapse,n/a,map04725,1,6,0.0370369804661222,0.142400804205952,Q9LQQ9,,Q9LQQ9
Serotonergic synapse,n/a,map04726,1,7,0.0422149625398103,0.147092760099651,Q9LQQ9,,Q9LQQ9
Platelet activation,n/a,map04611,1,20,0.107052331952928,0.206689783770587,Q9LQQ9,,Q9LQQ9
Leishmaniasis,n/a,map05140,1,10,0.0575827003855454,0.158530150444156,Q9LQQ9,,Q9LQQ9
Aldosterone-regulated sodium reabsorption,n/a,map04960,1,6,0.0370369804661222,0.142400804205952,Q9LQQ9,,Q9LQQ9
D-Glutamine and D-glutamate metabolism,n/a,map00471,1,7,0.0422149625398103,0.147092760099651,Q9S7A0,,Q9S7A0
